一	 yi_1
一一	 yi_1 yi_1
一七	 yi_1 qi_1
一万	 yi_1 wan_4
一万个	 yi_1 wan_4 ge_4
一万年	 yi_1 wan_4 nian_2
一万次	 yi_1 wan_4 ci_4
一三	 yi_1 san_1
一三五	 yi_1 san_1 wu_3
一下	 yi_1 xia_4
一下下	 yi_1 xia_4 xia_4
一下二十	 yi_1 xia_4 er_4 shi_2
一下全部	 yi_1 xia_4 quan_2 bu_4
一下周	 yi_1 xia_4 zhou_1
一下子	 yi_1 xia_4 zi_0
一下张	 yi_1 xia_4 zhang_1
一下脸	 yi_1 xia_4 lian_3
一世	 yi_1 shi_4
一两千	 yi_1 liang_3 qian_1
一个	 yi_2 ge_4
一个二十	 yi_2 ge_4 er_4 shi_2
一个月	 yi_2 ge_4 yue_4
一中	 yi_1 zhong_1
一串	 yi_1 chuan_4
一九	 yi_1 jiu_3
一九七	 yi_1 jiu_3 qi_1
一九七零年	 yi_1 jiu_3 qi_1 ling_2 nian_2
一九九	 yi_1 jiu_3 jiu_3
一九九三	 yi_1 jiu_3 jiu_3 san_1
一九九三年	 yi_1 jiu_3 jiu_3 san_1 nian_2
一九九九年	 yi_1 jiu_3 jiu_3 jiu_3 nian_2
一九九五年	 yi_1 jiu_3 jiu_3 wu_3 nian_2
一九九六年	 yi_1 jiu_3 jiu_3 liu_4 nian_2
一九二	 yi_1 jiu_3 er_4
一九五六年	 yi_1 jiu_3 wu_3 liu_4 nian_2
一九八	 yi_1 jiu_3 ba_1
一九八七年	 yi_1 jiu_3 ba_1 qi_1 nian_2
一九八三年	 yi_1 jiu_3 ba_1 san_1 nian_2
一九八九	 yi_1 jiu_3 ba_1 jiu_3
一九八九年	 yi_1 jiu_3 ba_1 jiu_3 nian_2
一九八五年	 yi_1 jiu_3 ba_1 wu_3 nian_2
一九六	 yi_1 jiu_3 liu_4
一九六九年	 yi_1 jiu_3 liu_4 jiu_3 nian_2
一九六六年	 yi_1 jiu_3 liu_4 liu_4 nian_2
一九四	 yi_1 jiu_3 si_4
一九四三	 yi_1 jiu_3 si_4 san_1
一二	 yi_1 er_4
一二三	 yi_1 er_4 san_1
一二九	 yi_1 er_4 jiu_3
一二年	 yi_1 er_4 nian_2
一二日	 yi_1 er_4 ri_4
一二点	 yi_1 er_4 dian_3
一二零	 yi_1 er_4 ling_2
一五	 yi_1 wu_3
一五零	 yi_1 wu_3 ling_2
一些	 yi_1 xie_1
一人之下	 yi_1 ren_2 zhi_1 xia_4
一亿	 yi_1 yi_4
一份	 yi_1 fen_4
一休哥	 yi_1 xiu_1 ge_1
一会	 yi_1 hui_4
一会儿	 yi_1 hui_4 er_0
一八	 yi_1 ba_1
一六	 yi_1 liu_4
一共	 yi_1 gong_4
一分	 yi_1 fen_1
一分钟	 yi_4 fen_1 zhong_1
一切	 yi_1 qie_4
一刻	 yi_1 ke_4
一剪梅	 yi_1 jian_3 mei_2
一动	 yi_1 dong_4
一十	 yi_1 shi_2
一十七	 yi_1 shi_2 qi_1
一十三	 yi_1 shi_2 san_1
一十九	 yi_1 shi_2 jiu_3
一十二	 yi_1 shi_2 er_4
一十五	 yi_1 shi_2 wu_3
一十八	 yi_1 shi_2 ba_1
一十六	 yi_1 shi_2 liu_4
一千	 yi_1 qian_1
一千一百	 yi_1 qian_1 yi_4 bai_3
一千一百八十	 yi_1 qian_1 yi_1 bai_3 ba_1 shi_2
一千七百	 yi_1 qian_1 qi_1 bai_3
一千三百	 yi_1 qian_1 san_1 bai_3
一千两百	 yi_1 qian_1 liang_3 bai_3
一千个	 yi_1 qian_1 ge_4
一千二百	 yi_1 qian_1 er_4 bai_3
一千二百元	 yi_1 qian_1 er_4 bai_3 yuan_2
一千二百块	 yi_1 qian_1 er_4 bai_3 kuai_4
一千五百	 yi_1 qian_1 wu_3 bai_3
一千五百元	 yi_1 qian_1 wu_3 bai_3 yuan_2
一千五百块	 yi_1 qian_1 wu_3 bai_3 kuai_4
一千元	 yi_1 qian_1 yuan_2
一千八百	 yi_1 qian_1 ba_1 bai_3
一千六百	 yi_1 qian_1 liu_4 bai_3
一千六百元	 yi_1 qian_1 liu_4 bai_3 yuan_2
一千四百	 yi_1 qian_1 si_4 bai_3
一千块	 yi_1 qian_1 kuai_4
一千年	 yi_1 qian_1 nian_2
一千零二十	 yi_1 qian_1 ling_2 er_4 shi_2
